date,demand,quarter,season_sin,season_cos,possible_working_days,avg_weight,ap_price_weight,crude_price_weight,demand_lag1,demand_lag3,ap_price_weight_lag1,ap_price_weight_lag3,ap_price_weight_lag6,crude_price_weight_lag1,crude_price_weight_lag3,crude_price_weight_lag6,demand_rollmean_3,crude_price_weight_rollmean_3,crude_price_weight_rollmean_6
200307,119662.0,3,-0.4999999999999998,-0.8660254037844388,17.0,0.0767,141579.9,144764.16666666666,170798.0,104384.0,141579.9,146683.83333333334,141579.9,144764.16666666666,144764.16666666666,142557.76666666666,148877.0,144764.16666666666,144028.69999999998
200308,152750.0,3,-0.8660254037844384,-0.5000000000000004,18.0,0.0765,141579.9,142557.76666666666,119662.0,156171.0,141579.9,146683.83333333334,141579.9,144764.16666666666,144764.16666666666,142557.76666666666,147736.66666666666,144028.69999999998,144028.69999999998
200309,158202.0,3,-1.0,-1.8369701987210297e-16,20.0,0.0937,146683.83333333334,144764.16666666666,152750.0,170798.0,141579.9,141579.9,141579.9,142557.76666666666,144764.16666666666,142557.76666666666,143538.0,144028.69999999998,144396.43333333332
200310,190338.0,4,-0.8660254037844386,0.5000000000000001,23.0,0.0981,141579.9,142557.76666666666,158202.0,119662.0,146683.83333333334,141579.9,146683.83333333334,144764.16666666666,144764.16666666666,144764.16666666666,167096.66666666666,143293.2333333333,144028.69999999998
200311,188538.0,4,-0.5000000000000004,0.8660254037844384,20.0,0.112,146683.83333333334,142557.76666666666,190338.0,152750.0,141579.9,141579.9,146683.83333333334,142557.76666666666,142557.76666666666,144764.16666666666,179026.0,143293.2333333333,143660.96666666665
200312,257198.0,4,-2.4492935982947064e-16,1.0,23.0,0.1085,146683.83333333334,142557.76666666666,188538.0,158202.0,146683.83333333334,146683.83333333334,141579.9,142557.76666666666,144764.16666666666,144764.16666666666,212024.66666666666,142557.76666666666,143293.23333333334
200401,56024.0,1,0.49999999999999994,0.8660254037844387,17.0,0.034,141579.9,142557.76666666666,257198.0,190338.0,146683.83333333334,141579.9,141579.9,142557.76666666666,142557.76666666666,144764.16666666666,167253.33333333334,142557.76666666666,142925.5
200402,55387.0,1,0.8660254037844386,0.5000000000000001,20.0,0.0359,141579.9,142557.76666666666,56024.0,188538.0,141579.9,146683.83333333334,141579.9,142557.76666666666,142557.76666666666,142557.76666666666,122869.66666666667,142557.76666666666,142925.5
200403,126294.0,1,1.0,6.123233995736766e-17,23.0,0.0679,141579.9,142557.76666666666,55387.0,257198.0,141579.9,146683.83333333334,146683.83333333334,142557.76666666666,142557.76666666666,144764.16666666666,79235.0,142557.76666666666,142557.76666666666
200404,164565.0,2,0.8660254037844387,-0.49999999999999983,21.0,0.0913,141579.9,142557.76666666666,126294.0,56024.0,141579.9,141579.9,141579.9,142557.76666666666,142557.76666666666,142557.76666666666,115415.33333333333,142557.76666666666,142557.76666666666
