date,demand,season_sin,season_cos,temp_avg,precip_avg,possible_working_days,avg_weight,ap_price_weight,crude_price_weight
200803,100278.0,1.0,6.123233995736766e-17,6.667548387096774,2.8088636363636366,21.0,0.0679,130369.4827586207,124500.4
200804,79290.0,0.8660254037844387,-0.49999999999999983,12.8008,3.0806842105263157,22.0,0.0913,132133.23333333334,124500.4
200805,161611.0,0.49999999999999994,-0.8660254037844387,17.20106451612903,5.625227272727273,21.0,0.1065,132133.23333333334,137749.46666666667
200806,125971.0,1.2246467991473532e-16,-1.0,20.287533333333332,7.3575,19.0,0.1117,133636.1,137749.46666666667
200807,169967.0,-0.4999999999999998,-0.8660254037844388,25.83448387096774,10.28374193548387,19.0,0.0767,133636.1,137749.46666666667
200808,116731.0,-0.8660254037844384,-0.5000000000000004,24.37141935483871,8.090321428571428,18.0,0.0765,133636.1,137749.46666666667
200809,139203.0,-1.0,-1.8369701987210297e-16,21.103299999999997,2.9823749999999998,22.0,0.0937,132133.23333333334,124500.4
200810,160750.0,-0.8660254037844386,0.5000000000000001,15.371354838709678,2.8629411764705885,23.0,0.0981,133655.41379310345,141076.24137931035
200811,204702.0,-0.5000000000000004,0.8660254037844384,7.358466666666668,1.4928181818181818,20.0,0.112,154216.44827586206,154094.55172413794
200812,229107.0,-2.4492935982947064e-16,1.0,1.2979354838709676,1.1909166666666666,22.0,0.1085,141579.9,142557.76666666666
200901,56958.0,0.49999999999999994,0.8660254037844387,-1.6844838709677419,1.0954347826086956,17.0,0.034,154216.44827586206,154094.55172413794
200902,117515.0,0.8660254037844386,0.5000000000000001,3.610071428571428,2.2362380952380954,20.0,0.0359,154216.44827586206,154094.55172413794
200903,165092.0,1.0,6.123233995736766e-17,6.562290322580646,3.3673499999999996,22.0,0.0679,154216.44827586206,154094.55172413794
200904,210295.0,0.8660254037844387,-0.49999999999999983,12.302200000000001,3.977933333333333,21.0,0.0913,142183.76666666666,154094.55172413794
200905,216016.0,0.49999999999999994,-0.8660254037844387,18.045935483870966,6.84405,19.0,0.1065,131693.46666666667,133424.93333333332
200906,221919.0,1.2246467991473532e-16,-1.0,21.658966666666668,6.844666666666666,20.0,0.1117,133655.41379310345,141076.24137931035
200907,152806.0,-0.4999999999999998,-0.8660254037844388,23.386935483870968,18.360129032258065,16.0,0.0767,133655.41379310345,143202.33333333334
200908,158132.0,-0.8660254037844384,-0.5000000000000004,24.161774193548386,6.475966666666666,19.0,0.0765,146330.76666666666,141076.24137931035
200909,200189.0,-1.0,-1.8369701987210297e-16,20.5414,3.287058823529412,22.0,0.0937,146330.76666666666,141076.24137931035
200910,152679.0,-0.8660254037844386,0.5000000000000001,14.863612903225807,3.2589130434782607,22.0,0.0981,146330.76666666666,142467.13333333333
200911,177603.0,-0.5000000000000004,0.8660254037844384,7.302033333333333,3.4343076923076925,21.0,0.112,130369.4827586207,142467.13333333333
200912,187674.0,-2.4492935982947064e-16,1.0,0.37432258064516133,1.58156,20.0,0.1085,130369.4827586207,142467.13333333333
201001,67431.0,0.49999999999999994,0.8660254037844387,-2.5037096774193546,1.45544,13.0,0.034,130369.4827586207,142467.13333333333
201002,50654.0,0.8660254037844386,0.5000000000000001,1.8447142857142858,3.869869565217391,18.0,0.0359,146330.76666666666,142467.13333333333
201003,124332.0,1.0,6.123233995736766e-17,5.003225806451613,3.62775,23.0,0.0679,130369.4827586207,142467.13333333333
201004,184552.0,0.8660254037844387,-0.49999999999999983,9.518,3.892333333333333,22.0,0.0913,130369.4827586207,128837.6551724138
201005,174767.0,0.49999999999999994,-0.8660254037844387,16.867774193548385,6.107904761904761,20.0,0.1065,130369.4827586207,142467.13333333333
201006,210484.0,1.2246467991473532e-16,-1.0,22.110866666666666,3.4144400000000004,22.0,0.1117,146330.76666666666,142467.13333333333
201007,166157.0,-0.4999999999999998,-0.8660254037844388,25.190838709677422,9.78158064516129,19.0,0.0767,146330.76666666666,141076.24137931035
201008,118586.0,-0.8660254037844384,-0.5000000000000004,26.594354838709677,14.276032258064516,17.0,0.0765,146330.76666666666,142467.13333333333
201009,140086.0,-1.0,-1.8369701987210297e-16,21.4493,12.869538461538461,19.0,0.0937,146330.76666666666,142467.13333333333
201010,178226.0,-0.8660254037844386,0.5000000000000001,14.077580645161289,2.8700869565217393,21.0,0.0981,130369.4827586207,128837.6551724138
201011,224234.0,-0.5000000000000004,0.8660254037844384,6.426466666666667,0.905,22.0,0.112,130369.4827586207,128837.6551724138
201012,156130.0,-2.4492935982947064e-16,1.0,0.23383870967741932,1.6373846153846154,17.0,0.1085,132133.23333333334,128837.6551724138
201101,43757.0,0.49999999999999994,0.8660254037844387,-5.509064516129032,0.5238571428571428,2.0,0.034,132133.23333333334,124500.4
201102,75768.0,0.8660254037844386,0.5000000000000001,1.4128928571428572,4.872375,19.0,0.0359,132133.23333333334,124500.4
201103,102379.0,1.0,6.123233995736766e-17,4.165387096774194,1.39895,23.0,0.0679,133636.1,137749.46666666667
201104,140360.0,0.8660254037844387,-0.49999999999999983,10.7834,5.3302499999999995,20.0,0.0913,133636.1,137749.46666666667
201105,148008.0,0.49999999999999994,-0.8660254037844387,17.048870967741934,6.153739130434783,20.0,0.1065,133636.1,137749.46666666667
201106,180724.0,1.2246467991473532e-16,-1.0,21.746766666666666,11.83674074074074,18.0,0.1117,133636.1,137749.46666666667
201107,131245.0,-0.4999999999999998,-0.8660254037844388,24.66393548387097,19.392933333333335,16.0,0.0767,133636.1,137749.46666666667
201108,130201.0,-0.8660254037844384,-0.5000000000000004,24.772193548387097,12.086033333333335,21.0,0.0765,133636.1,124500.4
201109,177370.0,-1.0,-1.8369701987210297e-16,20.617466666666665,5.36752380952381,22.0,0.0937,133636.1,124500.4
201110,186258.0,-0.8660254037844386,0.5000000000000001,13.22358064516129,4.581785714285714,21.0,0.0981,133636.1,124500.4
201111,179322.0,-0.5000000000000004,0.8660254037844384,10.457500000000001,4.657608695652174,21.0,0.112,133636.1,137749.46666666667
201112,186791.0,-2.4492935982947064e-16,1.0,0.08909677419354833,1.0366153846153845,20.0,0.1085,133636.1,137749.46666666667
201201,87744.0,0.49999999999999994,0.8660254037844387,-1.787741935483871,1.0805217391304347,19.0,0.034,133636.1,137749.46666666667
201202,47040.0,0.8660254037844386,0.5000000000000001,-1.2941379310344827,0.7460357142857144,16.0,0.0359,133636.1,137749.46666666667
201203,117388.0,1.0,6.123233995736766e-17,5.2373548387096776,4.148954545454545,22.0,0.0679,133636.1,137749.46666666667
201204,141686.0,0.8660254037844387,-0.49999999999999983,12.356733333333333,6.0655238095238095,20.0,0.0913,133636.1,137749.46666666667
201205,179163.0,0.49999999999999994,-0.8660254037844387,17.877741935483872,2.411608695652174,23.0,0.1065,133636.1,137749.46666666667
201206,207355.0,1.2246467991473532e-16,-1.0,21.86413333333333,4.396931034482758,20.0,0.1117,132133.23333333334,124500.4
