year_month,회사구분,산업,총계,
202310,정유사,"121,027","121,027",
202311,정유사,"165,339","165,339",
202312,정유사,"136,593","136,593",
202401,정유사,"58,124","58,124",
202402,정유사,"51,019","51,019",
202403,정유사,"127,786","127,786",
202404,정유사,"143,434","143,434",
202405,정유사,"137,674","137,674",
202406,정유사,"154,776","154,776",
202407,정유사,"93,055","93,055",
202408,정유사,"102,161","102,161",
202409,정유사,"119,981","119,981",
202410,정유사,"170,810","170,810",
202411,정유사,"160,996","160,996",
202412,정유사,"137,571","137,571",
202501,정유사,"54,598","54,598",
202502,정유사,"30,168","30,168",
202503,정유사,"66,470","66,470",
202504,정유사,"128,074","128,074",
202505,정유사,"142,233","142,233",
202506,정유사,"174,015","174,015",
202507,정유사,"76,743","76,743",
202508,정유사,"99,509","99,509",
202509,정유사,"143,900","143,900",
물량,,"41,356,234","41,356,234",
